Epoch 1/10, Loss: 0.4269, Accuracy: 0.8123, Precision: 0.8327, Recall: 0.8123, F1: 0.7952
Epoch 1/100, Loss: 0.3906, Accuracy: 0.8638, Precision: 0.8662, Recall: 0.8638, F1: 0.8632
Epoch 2/100, Loss: 0.3010, Accuracy: 0.8656, Precision: 0.8638, Recall: 0.8656, F1: 0.8636
Epoch 3/100, Loss: 0.2724, Accuracy: 0.8699, Precision: 0.8759, Recall: 0.8699, F1: 0.8667
Epoch 4/100, Loss: 0.2151, Accuracy: 0.8527, Precision: 0.8687, Recall: 0.8527, F1: 0.8425
Epoch 5/100, Loss: 0.2000, Accuracy: 0.8775, Precision: 0.8803, Recall: 0.8775, F1: 0.8757
Epoch 6/100, Loss: 0.1691, Accuracy: 0.8846, Precision: 0.8862, Recall: 0.8846, F1: 0.8818
Epoch 7/100, Loss: 0.1632, Accuracy: 0.8843, Precision: 0.8859, Recall: 0.8843, F1: 0.8812
Epoch 8/100, Loss: 0.1332, Accuracy: 0.8896, Precision: 0.8938, Recall: 0.8896, F1: 0.8908
Epoch 9/100, Loss: 0.1161, Accuracy: 0.8803, Precision: 0.8803, Recall: 0.8803, F1: 0.8801
Epoch 10/100, Loss: 0.0969, Accuracy: 0.8800, Precision: 0.8795, Recall: 0.8800, F1: 0.8797
Epoch 11/100, Loss: 0.1097, Accuracy: 0.8578, Precision: 0.8707, Recall: 0.8578, F1: 0.8604
Epoch 12/100, Loss: 0.0792, Accuracy: 0.8742, Precision: 0.8768, Recall: 0.8742, F1: 0.8702
Epoch 13/100, Loss: 0.0812, Accuracy: 0.8889, Precision: 0.8884, Recall: 0.8889, F1: 0.8886
Epoch 14/100, Loss: 0.0702, Accuracy: 0.8775, Precision: 0.8838, Recall: 0.8775, F1: 0.8775
Epoch 15/100, Loss: 0.0610, Accuracy: 0.8950, Precision: 0.8979, Recall: 0.8950, F1: 0.8960
Epoch 16/100, Loss: 0.0660, Accuracy: 0.8667, Precision: 0.8836, Recall: 0.8667, F1: 0.8584
Epoch 17/100, Loss: 0.0591, Accuracy: 0.8524, Precision: 0.8693, Recall: 0.8524, F1: 0.8436
Epoch 18/100, Loss: 0.0471, Accuracy: 0.9083, Precision: 0.9075, Recall: 0.9083, F1: 0.9076
Epoch 19/100, Loss: 0.0380, Accuracy: 0.9090, Precision: 0.9088, Recall: 0.9090, F1: 0.9088
Epoch 20/100, Loss: 0.0375, Accuracy: 0.8803, Precision: 0.8802, Recall: 0.8803, F1: 0.8802
Epoch 21/100, Loss: 0.0724, Accuracy: 0.8929, Precision: 0.8926, Recall: 0.8929, F1: 0.8911
Epoch 22/100, Loss: 0.0448, Accuracy: 0.9015, Precision: 0.9014, Recall: 0.9015, F1: 0.9014
Epoch 23/100, Loss: 0.0325, Accuracy: 0.8968, Precision: 0.8967, Recall: 0.8968, F1: 0.8968
Epoch 24/100, Loss: 0.0408, Accuracy: 0.8968, Precision: 0.8964, Recall: 0.8968, F1: 0.8963
Epoch 25/100, Loss: 0.0366, Accuracy: 0.9008, Precision: 0.9007, Recall: 0.9008, F1: 0.9000
Epoch 26/100, Loss: 0.0295, Accuracy: 0.8961, Precision: 0.8969, Recall: 0.8961, F1: 0.8953
Epoch 27/100, Loss: 0.0206, Accuracy: 0.8893, Precision: 0.8920, Recall: 0.8893, F1: 0.8864
Epoch 28/100, Loss: 0.0452, Accuracy: 0.8868, Precision: 0.8929, Recall: 0.8868, F1: 0.8881
Epoch 29/100, Loss: 0.0433, Accuracy: 0.8810, Precision: 0.8863, Recall: 0.8810, F1: 0.8771
Epoch 30/100, Loss: 0.0287, Accuracy: 0.9029, Precision: 0.9031, Recall: 0.9029, F1: 0.9019
Epoch 31/100, Loss: 0.0185, Accuracy: 0.8896, Precision: 0.8947, Recall: 0.8896, F1: 0.8865
Epoch 32/100, Loss: 0.0291, Accuracy: 0.9022, Precision: 0.9025, Recall: 0.9022, F1: 0.9005
Epoch 33/100, Loss: 0.0216, Accuracy: 0.9043, Precision: 0.9041, Recall: 0.9043, F1: 0.9033
Epoch 34/100, Loss: 0.0165, Accuracy: 0.8782, Precision: 0.8835, Recall: 0.8782, F1: 0.8743
Epoch 35/100, Loss: 0.0446, Accuracy: 0.8853, Precision: 0.8854, Recall: 0.8853, F1: 0.8852
Epoch 36/100, Loss: 0.0296, Accuracy: 0.8871, Precision: 0.8872, Recall: 0.8871, F1: 0.8860
Epoch 37/100, Loss: 0.0249, Accuracy: 0.8979, Precision: 0.8967, Recall: 0.8979, F1: 0.8967
Epoch 38/100, Loss: 0.0287, Accuracy: 0.8821, Precision: 0.8884, Recall: 0.8821, F1: 0.8801
Epoch 39/100, Loss: 0.0303, Accuracy: 0.8993, Precision: 0.8989, Recall: 0.8993, F1: 0.8987
Epoch 40/100, Loss: 0.0204, Accuracy: 0.8721, Precision: 0.8752, Recall: 0.8721, F1: 0.8711
Epoch 41/100, Loss: 0.0172, Accuracy: 0.9008, Precision: 0.9008, Recall: 0.9008, F1: 0.8995
Epoch 42/100, Loss: 0.0091, Accuracy: 0.9051, Precision: 0.9048, Recall: 0.9051, F1: 0.9039
Epoch 43/100, Loss: 0.0154, Accuracy: 0.8904, Precision: 0.8900, Recall: 0.8904, F1: 0.8902
Epoch 44/100, Loss: 0.0223, Accuracy: 0.8929, Precision: 0.8932, Recall: 0.8929, F1: 0.8914
Epoch 45/100, Loss: 0.0423, Accuracy: 0.9008, Precision: 0.9006, Recall: 0.9008, F1: 0.9005
Epoch 46/100, Loss: 0.0172, Accuracy: 0.8871, Precision: 0.8874, Recall: 0.8871, F1: 0.8855
Epoch 47/100, Loss: 0.0163, Accuracy: 0.8972, Precision: 0.8966, Recall: 0.8972, F1: 0.8964
Epoch 48/100, Loss: 0.0199, Accuracy: 0.8814, Precision: 0.8849, Recall: 0.8814, F1: 0.8809
Epoch 49/100, Loss: 0.0144, Accuracy: 0.8449, Precision: 0.8687, Recall: 0.8449, F1: 0.8357
Epoch 50/100, Loss: 0.0249, Accuracy: 0.8986, Precision: 0.8982, Recall: 0.8986, F1: 0.8974
Epoch 51/100, Loss: 0.0263, Accuracy: 0.8914, Precision: 0.8920, Recall: 0.8914, F1: 0.8893
Epoch 52/100, Loss: 0.0405, Accuracy: 0.8918, Precision: 0.8924, Recall: 0.8918, F1: 0.8894
Epoch 53/100, Loss: 0.0040, Accuracy: 0.8986, Precision: 0.8980, Recall: 0.8986, F1: 0.8982
Epoch 54/100, Loss: 0.0137, Accuracy: 0.8954, Precision: 0.8969, Recall: 0.8954, F1: 0.8929
Epoch 55/100, Loss: 0.0127, Accuracy: 0.8889, Precision: 0.8901, Recall: 0.8889, F1: 0.8874
Epoch 56/100, Loss: 0.0171, Accuracy: 0.9000, Precision: 0.9001, Recall: 0.9000, F1: 0.8988
Epoch 57/100, Loss: 0.0134, Accuracy: 0.8986, Precision: 0.8986, Recall: 0.8986, F1: 0.8986
Epoch 58/100, Loss: 0.0122, Accuracy: 0.8843, Precision: 0.8890, Recall: 0.8843, F1: 0.8846
Epoch 59/100, Loss: 0.0559, Accuracy: 0.8714, Precision: 0.8717, Recall: 0.8714, F1: 0.8686
Epoch 60/100, Loss: 0.0765, Accuracy: 0.9022, Precision: 0.9031, Recall: 0.9022, F1: 0.9025
Epoch 61/100, Loss: 0.0079, Accuracy: 0.9068, Precision: 0.9060, Recall: 0.9068, F1: 0.9062
Epoch 62/100, Loss: 0.0055, Accuracy: 0.9058, Precision: 0.9049, Recall: 0.9058, F1: 0.9048
Epoch 63/100, Loss: 0.0020, Accuracy: 0.9025, Precision: 0.9035, Recall: 0.9025, F1: 0.9012
Epoch 64/100, Loss: 0.0065, Accuracy: 0.8932, Precision: 0.8924, Recall: 0.8932, F1: 0.8919
Epoch 65/100, Loss: 0.0287, Accuracy: 0.8871, Precision: 0.8863, Recall: 0.8871, F1: 0.8864
Epoch 66/100, Loss: 0.0764, Accuracy: 0.8972, Precision: 0.8968, Recall: 0.8972, F1: 0.8970
